,first_opening_prayer,first_lesson,first_song_leader,announcements,song_leader,scripture_reading,opening_prayer,closing_prayer,table_lead_bread,table_lead_cup,table_aid_bread,table_aid_cup,lesson,wednesday_announcements,wednesday_song_leader,wednesday_opening_prayer,wednesday_lesson,wednesday_closing_prayer,lords_supper_prep,usher,alt_usher,security,sound_board_operator
first_opening_prayer,1,1,1,,,,1,1,1,1,,,,,,,,,,1,,,1
first_lesson,1,1,1,,,,,,,,,,,,,,1,,,,,1,1
first_song_leader,1,1,1,,1,,,,,,,,,,1,,,,,1,1,1,1
announcements,,,,1,,,,,,,,,,,,,,,,,,,1
song_leader,,,1,,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1
scripture_reading,,,,,1,1,1,1,1,1,,,,,,,,,,,,,1
opening_prayer,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,1
closing_prayer,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,1
table_lead_bread,1,,,,,,,,1,1,1,1,,,,,,,,,,,1
table_lead_cup,1,,,,,,,,1,1,1,1,,,,,,,,,,,1
table_aid_bread,,,,,,,,,1,1,1,1,,,,,,,,,,,1
table_aid_cup,,,,,,,,,1,1,1,1,,,,,,,,,,,1
lesson,,,,,,,,,1,1,1,1,1,,,,,,,1,1,1,1
wednesday_announcements,,,,,,,,,,,,,,1,,,,,,,,,1
wednesday_song_leader,,,,,,,,,,,,,,,1,1,1,1,,1,1,1,1
wednesday_opening_prayer,,,,,,,,,,,,,,,1,1,1,1,,,,,1
wednesday_lesson,,1,,,,,,,,,,,,,1,1,1,1,,1,1,1,1
wednesday_closing_prayer,,,,,,,,,,,,,,,1,1,1,1,,,,,1
lords_supper_prep,,,,,,,,,,,,,,,,,,,1,,,,
usher,1,1,1,,1,,,,,,,,1,,1,,1,,,1,1,1,1
alt_usher,,1,1,,1,,,,,,,,1,,1,,1,,,1,1,1,1
security,,1,1,,1,,,,,,,,,1,,,1,,,1,1,1,1
sound_board_operator,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1